Category: Pets & Animals

Week,Bowhead whale: (United States),Owls: (United States),Delta smelt: (United States),Chum salmon: (United States),Sturgeons: (United States)
2014-10-12,1,80,0,0,4
2014-10-19,<1,79,<1,<1,3
2014-10-26,<1,86,0,<1,3
2014-11-02,1,84,0,0,4
2014-11-09,1,86,0,<1,5
2014-11-16,2,84,0,0,4
2014-11-23,2,83,0,<1,4
2014-11-30,1,77,0,0,5
2014-12-07,1,81,0,0,5
2014-12-14,1,81,0,0,4
2014-12-21,1,81,0,<1,4
2014-12-28,1,71,0,0,7
