Category: Pets & Animals

Week,Sea lions: (United States),flycatchers: (United States),Tortoise: (United States),Bull trout: (United States),Sturgeons: (United States)
2013-09-01,4,0,51,<1,7
2013-09-08,5,<1,48,<1,6
2013-09-15,4,<1,40,0,4
2013-09-22,5,<1,42,<1,7
2013-09-29,6,<1,43,0,5
2013-10-06,6,0,43,0,7
2013-10-13,6,<1,42,0,7
2013-10-20,5,0,41,0,6
2013-10-27,20,<1,38,<1,5
2013-11-03,7,0,39,0,5
2013-11-10,6,0,42,0,5
2013-11-17,4,<1,46,0,6
2013-11-24,6,<1,39,0,4
2013-12-01,4,<1,40,0,5
2013-12-08,5,0,34,0,9
2013-12-15,4,0,37,0,6
2013-12-22,5,0,43,0,7
2013-12-29,5,<1,32,0,11
2014-01-05,4,<1,31,<1,6
2014-01-12,5,<1,36,0,8
2014-01-19,5,<1,41,<1,5
2014-01-26,5,<1,37,0,7
2014-02-02,2,<1,36,0,10
2014-02-09,5,0,40,0,13
2014-02-16,5,<1,40,0,6
2014-02-23,5,0,39,0,7
2014-03-02,6,1,39,0,4
2014-03-09,7,0,41,0,6
2014-03-16,6,<1,45,0,5
2014-03-23,5,0,44,0,6
2014-03-30,6,<1,43,0,7
2014-04-06,8,<1,53,0,8
2014-04-13,7,<1,54,0,10
2014-04-20,7,0,51,0,10
2014-04-27,8,<1,49,<1,17
2014-05-04,7,<1,50,<1,10
2014-05-11,9,1,51,0,8
2014-05-18,7,1,47,0,7
2014-05-25,9,1,48,0,8
2014-06-01,7,1,49,0,8
2014-06-08,6,<1,44,0,6
2014-06-15,4,<1,42,0,11
2014-06-22,6,1,42,0,6
2014-06-29,5,<1,52,0,7
2014-07-06,3,0,50,0,7
2014-07-13,8,1,50,<1,9
2014-07-20,5,<1,53,0,7
2014-07-27,6,<1,56,<1,6
2014-08-03,6,1,56,0,10
2014-08-10,6,0,47,0,8
2014-08-17,5,<1,49,0,7
2014-08-24,4,1,42,0,6
2014-08-31,5,<1,44,0,5
2014-09-07,5,<1,45,0,4
2014-09-14,4,<1,48,0,10
2014-09-21,3,0,43,0,6
2014-09-28,5,<1,47,0,5
2014-10-05,4,0,44,<1,6
2014-10-12,6,0,45,0,5
2014-10-19,5,0,40,0,4
2014-10-26,5,0,43,<1,4
2014-11-02,6,<1,39,<1,5
2014-11-09,5,<1,40,0,6
2014-11-16,5,<1,39,<1,5
2014-11-23,6,<1,39,0,5
2014-11-30,6,<1,39,0,6
2014-12-07,5,<1,41,0,6
2014-12-14,5,0,46,<1,4
2014-12-21,5,0,47,0,5
2014-12-28,3,0,44,<1,9
